text,label,category
Functional bug in QA — the audit log viewer truncates uploaded file names causing lookup failures when multiple concurrent sessions are active.,1,FUNCTIONAL
"Business-logic failure — the settings panel freezes the workflow at step 3 of 5 when switching between user roles, impacting developers.",1,FUNCTIONAL
Bug filed by security auditors: the order history section shows an unresponsive dropdown menu. First seen when the network connection is unstable in production.,0,UI
Functional bug in development — the search results page freezes the workflow at step 3 of 5 after a third-party service timeout.,1,FUNCTIONAL
SLO breach — the order history section increases bundle size by 2 MB due to unused dependencies after a user resets their password.,2,PERFORMANCE
Regression: the authentication service truncates uploaded file names causing lookup failures. Reproducible following a database migration by end users.,1,FUNCTIONAL
"Accessibility defect on the email verification flow: misaligned form fields, impacting beta testers on Ubuntu 22.04.",0,UI
"The data export feature displays blank white space where content should appear under heavy API load, reported by security auditors on Safari 17 running Windows 11.",0,UI
"Performance issue: the data export feature times out after 30 seconds with no fallback on first login after account creation, degrading experience for beta testers in pre-release.",2,PERFORMANCE
"Business-logic failure — the search results page skips mandatory validation steps under heavy API load, impacting security auditors.",1,FUNCTIONAL
Bug filed by end users: the audit log viewer shows a broken responsive grid. First seen when the session token expires in pre-release.,0,UI
"Business-logic failure — the file upload module fails to submit and returns a 500 error when the session token expires, impacting admin users.",1,FUNCTIONAL
Defect reported by developers: the email verification flow produces inconsistent results across repeated calls when multiple concurrent sessions are active in QA.,1,FUNCTIONAL
Load-test failure in staging: the product listing page causes CPU utilisation to spike to 95% when the session token expires.,2,PERFORMANCE
Scalability defect found by developers: the registration form causes garbage collection pauses lasting over 5 seconds after clearing browser cache in production.,2,PERFORMANCE
The session manager increases average query execution time by 400% during high-traffic periods. Profiling conducted in staging by QA engineers.,2,PERFORMANCE
"The settings panel exposes API keys in client-side JavaScript bundles after clearing browser cache, posing a high risk in staging.",3,SECURITY
"Performance issue: the search results page times out after 30 seconds with no fallback after clearing browser cache, degrading experience for security auditors in staging.",2,PERFORMANCE
Critical defect: the authentication service fails to submit and returns a 500 error when triggered by end users after a user resets their password.,1,FUNCTIONAL
"Business-logic failure — the data export feature truncates uploaded file names causing lookup failures after a user resets their password, impacting developers.",1,FUNCTIONAL
The data export feature ignores filter criteria and returns all records. Issue reproduced in production when multiple concurrent sessions are active by security auditors.,1,FUNCTIONAL
The registration form takes over 15 seconds to load under normal conditions after the latest deployment. Profiling conducted in production by beta testers.,2,PERFORMANCE
Security vulnerability: the file upload module keeps session tokens valid indefinitely after logout. Discovered by customer support in production when accessed via mobile devices.,3,SECURITY
"Compliance risk: the user profile page is vulnerable to XML external entity (XXE) injection following a database migration, identified by QA engineers.",3,SECURITY
"On iOS 17 with Chrome 124, the email verification flow exhibits input fields that lose focus unexpectedly when input contains special characters.",0,UI
"Business-logic failure — the user profile page does not enforce required field validation during high-traffic periods, impacting developers.",1,FUNCTIONAL
Critical security defect — the product listing page keeps session tokens valid indefinitely after logout after a user resets their password in pre-release.,3,SECURITY
The payment gateway sends confirmation emails to the wrong address. Issue reproduced in QA after the latest deployment by developers.,1,FUNCTIONAL
Bug filed by security auditors: the order history section shows input fields that lose focus unexpectedly. First seen after a third-party service timeout in QA.,0,UI
Functional bug in pre-release — the settings panel returns stale cached data instead of live results after a third-party service timeout.,1,FUNCTIONAL
Visual regression: an unresponsive dropdown menu observed on the file upload module by customer support when switching between user roles.,0,UI
"Compliance risk: the login page allows unrestricted file upload including executable extensions after an inactive period, identified by admin users.",3,SECURITY
Penetration test finding by admin users: the order history section is susceptible to CSRF on state-changing POST requests after the latest deployment.,3,SECURITY
Visual regression: an unresponsive dropdown menu observed on the session manager by developers after clearing browser cache.,0,UI
The API endpoint uses MD5 to hash passwords without salting. Reported by developers during security review in development.,3,SECURITY
"Accessibility defect on the admin dashboard: a broken layout, impacting security auditors on Windows 11.",0,UI
Load-test failure in development: the user profile page introduces a 3-second delay on every keystroke in search when accessed via mobile devices.,2,PERFORMANCE
"The audit log viewer fails to release file handles, causing disk I/O saturation. Occurs after the latest deployment and was escalated by developers.",2,PERFORMANCE
"Accessibility defect on the role management screen: invisible CTA buttons, impacting developers on iOS 17.",0,UI
Bug filed by security auditors: the user profile page shows a broken layout. First seen during high-traffic periods in development.,0,UI
Regression: the payment gateway truncates uploaded file names causing lookup failures. Reproducible after a third-party service timeout by customer support.,1,FUNCTIONAL
"The login page resets form state after a browser back-navigation during high-traffic periods, blocking end users in QA.",1,FUNCTIONAL
"Load-test failure in production: the admin dashboard fails to release file handles, causing disk I/O saturation during high-traffic periods.",2,PERFORMANCE
Defect reported by QA engineers: the session manager returns stale cached data instead of live results after an inactive period in production.,1,FUNCTIONAL
